"date","depth2m","depth6m","depth8m"
1996-01-01,NA,NA,28.531875
1997-01-01,28.3358333333333,NA,28.249375
1998-01-01,27.3764583333333,NA,27.3579166666667
1999-01-01,28.62125,NA,28.4497916666667
2000-01-01,27.4008333333333,NA,27.175
2001-01-01,27.6706666666667,NA,27.6251875
2002-01-01,29.3083958333333,NA,29.3794583333333
2003-01-01,27.8929583333333,NA,27.8922708333333
2004-01-01,28.3656041666667,NA,28.3064583333333
2005-01-01,NA,NA,27.5149583333333
2006-01-01,29.5491645833333,NA,29.4905520833333
2007-01-01,27.4584104166667,NA,27.2203645833333
2008-01-01,28.0627645833333,NA,27.89905625
2009-01-01,27.8426229166667,NA,NA
2010-01-01,28.1522222222222,NA,28.0322222222222
2011-01-01,28.7194444444444,NA,28.8052777777778
2012-01-01,28.290076625,NA,NA
2013-01-01,27.9427239097222,NA,27.6786872777778
2014-01-01,28.3164204097222,NA,28.3406099513889
2015-01-01,28.9870170416667,NA,28.1680670486111
2019-01-01,27.9810070347222,NA,28.0367427847222
2020-01-01,28.5552627916667,NA,28.4162461597222
1996-02-01,NA,NA,28.860625
1997-02-01,28.6179166666667,NA,28.56375
1998-02-01,29.1952083333333,NA,29.109375
1999-02-01,29.0308333333333,NA,28.9533333333333
2000-02-01,28.2895744680851,NA,28.1658333333333
2001-02-01,28.9598333333333,NA,28.9399375
2002-02-01,29.2846458333333,NA,29.4447083333333
2003-02-01,28.455,NA,28.4615
2004-02-01,29.2708958333333,NA,29.2135833333333
2005-02-01,31.0348895833333,NA,30.7300229166667
2006-02-01,30.1632291666667,NA,29.973475
2007-02-01,27.7963666666667,NA,27.61086875
2008-02-01,28.12121875,NA,28.0464208333333
2009-02-01,27.3122145833333,NA,NA
2010-02-01,28.3755555555556,NA,28.3854861111111
2011-02-01,28.6718869027778,NA,28.6009691666667
2012-02-01,29.4132209930556,NA,NA
2013-02-01,29.8154912013889,NA,29.0993841458333
2014-02-01,28.6080944652778,NA,28.6243898055556
2015-02-01,29.7004685208333,NA,29.3000839722222
2019-02-01,27.8667121041667,NA,27.9268445347222
2020-02-01,28.7514552569444,NA,28.7803970277778
